Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions & others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Networking,E505-1604-58F8,Networking Service Directory Registered Resource,D34A-7997-2D03,1.002,month,0.10,-0.01,0.00,-0.00,0.083381,0.08,-11%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to Apac(Excluding Korea and Indonesia),400E-0B94-6FB4,0.835,gibibyte,0.10,-0.01,0.00,-0.00,0.082198,0.08,New
Cloud Storage,95FF-2EF5-5EA1,Download China,4980-950B-BDA6,0.393,gibibyte,0.09,-0.01,0.00,-0.01,0.067775,0.07,-12%
Vertex AI,C7E2-9256-1C43,Embeddings for Text - Predictions,E7B1-197A-4394,"2,555,971",Characters,0.06,0.00,0.00,0.00,0.063885,0.06,New
Cloud Storage,95FF-2EF5-5EA1,NA-based Storage Data Transfer Out via peered/interconnect network,B1FE-19F7-6D1B,1.64,gibibyte,0.07,-0.01,0.00,-0.00,0.058293,0.06,20%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Singapore,FAD1-829C-5E63,0.885,gibibyte,0.06,-0.01,0.00,0.00,0.054892,0.05,-95%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from EMEA to EMEA,5B70-B2D6-B4FC,0.513,gibibyte,0.06,-0.01,0.00,-0.00,0.049011,0.05,25%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Tokyo to Apac(Excluding Korea and Indonesia),B455-917B-2122,0.508,gibibyte,0.06,-0.01,0.00,-0.00,0.048424,0.05,New
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Japan to China,0D27-F4FA-E8E0,0.251,gibibyte,0.06,-0.01,0.00,-0.00,0.046878,0.05,25%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Americas,72F8-90AD-8752,2.215,gibibyte,0.18,-0.02,0.00,-0.11,0.039764,0.04,-95%
Networking,E505-1604-58F8,Networking Cloud Armor Requests,1A87-DEB9-C4BE,"69,419",count,0.05,-0.00,0.00,-0.00,0.039697,0.04,0%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Asia Multi-region,E653-0A40-3B69,1.662,gibibyte month,0.04,-0.00,0.00,-0.00,0.037052,0.04,0%
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Flash Text Input (Long) - Predictions,8718-34D6-CAB4,"979,473",count,0.04,0.00,0.00,0.00,0.036730,0.04,New
Networking,E505-1604-58F8,Networking Cloud Load Balancing Features User Defined Header,4162-C0C6-016E,"66,608",count,0.04,-0.00,0.00,-0.00,0.035537,0.04,33%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Belgium to Apac(Excluding Korea and Indonesia),6AA7-5747-901F,0.352,gibibyte,0.04,-0.01,0.00,-0.00,0.033467,0.03,New
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to China,D227-97EC-A38C,0.17,gibibyte,0.04,-0.01,0.00,-0.00,0.032258,0.03,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Las Vegas to Americas,706B-9D5D-1176,0.307,gibibyte,0.04,-0.01,0.00,-0.00,0.030105,0.03,-73%
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Pro Text Output - Predictions,08EC-FFFC-41AF,"23,887",count,0.03,0.00,0.00,0.00,0.029854,0.03,-95%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Las Vegas to South America,E1D9-D621-A9B0,0.181,gibibyte,0.03,-0.00,0.00,0.00,0.029581,0.03,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Data Transfer Out from Americas to Virginia,9CEE-4CEC-FA54,3.745,gibibyte,0.04,-0.00,0.00,-0.00,0.029532,0.03,-40%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Japan to EMEA,AE12-2FA9-FF84,0.261,gibibyte,0.03,-0.00,0.00,-0.00,0.024329,0.02,-33%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Japan to Americas,9BD3-FF87-6DCB,0.242,gibibyte,0.03,-0.00,0.00,-0.00,0.022815,0.02,-33%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from EMEA to Americas,A259-FE21-4125,0.202,gibibyte,0.02,-0.00,0.00,-0.00,0.019715,0.02,100%
Cloud Storage,95FF-2EF5-5EA1,Autoclass Management Fee,CF60-426C-8557,"21,185,042,490",second,0.02,-0.00,0.00,-0.00,0.017516,0.02,-60%
Vertex AI,C7E2-9256-1C43,Metadata storage,AEEB-1CC1-1A3A,0.002,GB months,0.02,-0.00,0.00,-0.00,0.015424,0.02,0%
Dataplex,51C6-B3F5-9B38,Dataplex Premium Processing (milli DCU-hr) Oregon,52CE-083D-0B88,224.722,Milli DCU hours,0.02,-0.00,0.00,-0.00,0.014240,0.01,-80%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to Americas,2DF7-CD55-4181,0.147,gibibyte,0.02,-0.00,0.00,-0.00,0.014169,0.01,-75%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to EMEA,77FA-B1DB-31D7,0.142,gibibyte,0.02,-0.00,0.00,-0.00,0.013595,0.01,-50%
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Flash Image Input - Predictions,244D-3A1F-5D40,651,count,0.01,0.00,0.00,-0.00,0.012899,0.01,-99%
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Data Transfer Out from Americas to Americas,B813-26B2-1B75,2.531,gibibyte,0.01,-0.00,0.00,0.00,0.012762,0.01,-67%
Translate,1DB1-3CD3-35A3,Language Detection,53BA-5E1D-4314,818,characters,0.02,-0.00,-0.00,-0.00,0.012499,0.01,0%
Cloud Storage,95FF-2EF5-5EA1,Autoclass Nearline Storage Iowa,F33B-ED40-25C6,1.392,gibibyte month,0.01,-0.00,0.00,-0.00,0.011935,0.01,0%
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Pro Text Input - Predictions,DDF5-77FD-8CF2,"24,393",count,0.01,0.00,0.00,0.00,0.007617,0.01,-96%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to Americas,695F-F3F7-6A44,0.095,gibibyte,0.01,-0.00,0.00,-0.00,0.006344,0.01,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Japan to South America,52B5-D3A7-E572,0.034,gibibyte,0.01,-0.00,0.00,-0.00,0.005155,0.01,0%
Cloud Pub/Sub,A1E8-BE35-7EBC,Inter-region data delivery from North America to Asia Pacific,BC24-D16B-4A9D,0.066,gibibyte,0.01,-0.00,0.00,-0.00,0.004529,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to Africa,B103-A797-5A01,0.04,gibibyte,0.01,-0.00,0.00,-0.00,0.004447,0.00,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Iowa (us-central1),1481-64C8-6805,1.015,gibibyte,0.01,-0.00,0.00,-0.00,0.004364,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from EMEA to South America,B0B5-9B07-F60F,0.026,gibibyte,0.00,-0.00,0.00,-0.00,0.003987,0.00,0%
Networking,E505-1604-58F8,Regional External Passthrough Network Load Balancer Outbound Data Processing for Las Vegas (us-west4),F18D-C1A3-A1D6,0.476,gibibyte,0.00,-0.00,0.00,-0.00,0.003496,0.00,-100%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to Americas,238B-D94B-7243,0.025,gibibyte,0.00,-0.00,0.00,-0.00,0.003310,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to South America,3D1A-C30D-01E9,0.022,gibibyte,0.00,-0.00,0.00,-0.00,0.003224,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to APAC,36ED-8A88-4748,0.023,gibibyte,0.00,-0.00,0.00,0.00,0.002759,0.00,-100%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Micro instance in Americas,C2D4-F7DF-B8D0,0.283,hour,0.00,-0.00,0.00,0.00,0.002642,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from EMEA to Africa,0D60-7830-71D5,0.02,gibibyte,0.00,-0.00,0.00,-0.00,0.002495,0.00,0%
Cloud Pub/Sub,A1E8-BE35-7EBC,Subscriptions message backlog,3EAB-48F3-A0D5,0.029,gibibyte month,0.00,-0.00,0.00,-0.00,0.002065,0.00,-100%
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Data Transfer Out from Americas to Warsaw,3FB6-2304-7332,1.028,gibibyte,0.00,-0.00,0.00,0.00,0.001953,0.00,-100%
Cloud Pub/Sub,A1E8-BE35-7EBC,Inter-region data delivery from EMEA to North America,BB8E-BF1E-B3BF,0.066,gibibyte,0.00,-0.00,0.00,-0.00,0.001816,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - APAC Based,9428-46F3-3796,0.04,gibibyte,0.00,-0.00,0.00,-0.00,0.001798,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from EMEA to Americas,4EA8-4296-E5E2,0.041,gibibyte,0.00,-0.00,0.00,-0.00,0.001655,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions (1st Gen) CPU Time,C024-9C10-2A5B,"82,431.149",second,0.81,0.00,-0.81,0.00,0.001366,0.00,-100%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Las Vegas to EMEA,7226-E677-056F,0.014,gibibyte,0.00,-0.00,0.00,-0.00,0.001189,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Japan to Australia,D639-5F3E-35CD,0.008,gibibyte,0.00,-0.00,0.00,-0.00,0.001158,0.00,0%
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Flash Text Output (Long) - Predictions,97DD-2ACF-2979,"7,318",count,0.00,0.00,0.00,0.00,0.001097,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Cloud CDN Cache Fill from North America to South America,FAFF-3200-1569,0.032,gibibyte,0.00,-0.00,0.00,-0.00,0.001068,0.00,0%
Dataplex,51C6-B3F5-9B38,Dataplex Metadata Storage Las Vegas,67CD-17FA-8194,0.001,gibibyte month,0.00,-0.00,0.00,0.00,0.000962,0.00,0%
Networking,E505-1604-58F8,Regional External Passthrough Network Load Balancer Inbound Data Processing for Las Vegas (us-west4),AE26-2E6C-BADA,0.178,gibibyte,0.00,-0.00,0.00,-0.00,0.000935,0.00,-100%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to Australia,292B-5D52-060C,0.005,gibibyte,0.00,-0.00,0.00,0.00,0.000842,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Los Angeles to Australia,6705-13F0-2D9B,0.006,gibibyte,0.00,-0.00,0.00,-0.00,0.000831,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Virginia,C863-37DA-506E,0.049,gibibyte,0.00,-0.00,0.00,-0.00,0.000771,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from EMEA to Australia,2F2A-EFB5-F751,0.005,gibibyte,0.00,-0.00,0.00,-0.00,0.000752,0.00,0%
Compute Engine,6F81-5844-456A,Network CDN Cache Fill from Asia Pacific to North America,5BF5-89FD-11AB,0.024,gibibyte,0.00,-0.00,0.00,0.00,0.000743,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions CPU Allocation Time in us-central1,AD70-830E-0384,"30,957.744",second,0.74,0.00,-0.74,0.00,0.000577,0.00,-100%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Japan to Africa,CC82-2885-A759,0.005,gibibyte,0.00,-0.00,0.00,-0.00,0.000502,0.00,0%
Compute Engine,6F81-5844-456A,Network CDN Cache Fill from Europe to North America,5A61-B8B7-A321,0.015,gibibyte,0.00,-0.00,0.00,-0.00,0.000440,0.00,0%
Compute Engine,6F81-5844-456A,Network CDN Cache Fill from North America to Europe,8250-896A-ACB5,0.016,gibibyte,0.00,-0.00,0.00,-0.00,0.000435,0.00,0%
Compute Engine,6F81-5844-456A,Network CDN Cache Fill from Asia Pacific to Europe,F186-07B2-96CB,0.016,gibibyte,0.00,-0.00,0.00,-0.00,0.000414,0.00,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to EMEA,7EB3-F1EB-EC4A,0.003,gibibyte,0.00,-0.00,0.00,-0.00,0.000369,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Network Internet Data Transfer Out Intercontinental (Excl Oceania and China and Africa),FCAC-26E0-E5F5,0.004,gibibyte,0.00,-0.00,0.00,-0.00,0.000362,0.00,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to APAC,094A-C58C-9FD6,0.003,gibibyte,0.00,-0.00,0.00,-0.00,0.000327,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Jakarta,7C79-34BD-F61B,0.005,gibibyte,0.00,-0.00,0.00,-0.00,0.000279,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Japan to Middle East,017C-922F-E5A6,0.002,gibibyte,0.00,-0.00,0.00,-0.00,0.000246,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Japan to APAC,ABE7-A6A4-7E29,0.002,gibibyte,0.00,-0.00,0.00,0.00,0.000228,0.00,-100%
Compute Engine,6F81-5844-456A,Network CDN Cache Fill from North America to Asia Pacific,8230-F225-1DB6,0.008,gibibyte,0.00,-0.00,0.00,-0.00,0.000212,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from EMEA to APAC,D35A-2EF8-B634,0.002,gibibyte,0.00,-0.00,0.00,0.00,0.000204,0.00,-100%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions (1st Gen) Memory Time,F01C-3EA0-06CD,"51,522.275",gibibyte second,0.11,0.00,-0.11,0.00,0.000194,0.00,-100%
Compute Engine,6F81-5844-456A,Network CDN Cache Fill from Europe to Asia Pacific,41D4-BFEE-A989,0.007,gibibyte,0.00,-0.00,0.00,-0.00,0.000192,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Asia Regional,BAE2-255B-64A7,0.012,gibibyte month,0.00,-0.00,0.00,-0.00,0.000182,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - EMEA Based,F603-6008-38E5,0.005,gibibyte,0.00,-0.00,0.00,0.00,0.000178,0.00,0%
Compute Engine,6F81-5844-456A,Network CDN Asia Pacific Intra-Region Cache Fill,95A2-CC87-26E5,0.014,gibibyte,0.00,-0.00,0.00,-0.00,0.000171,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from EMEA to Middle East,FCF4-F663-671F,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000156,0.00,0%
Apigee,1C2D-8C78-EC58,Apigee Standard API Calls: number of API calls processed by Apigee Standard API Proxy,49D4-8AAF-6094,8,count,0.00,-0.00,0.00,0.00,0.000139,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Singapore to Middle East,2741-934F-0803,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000123,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Columbus,735D-08F9-4DB3,0.008,gibibyte,0.00,-0.00,0.00,0.00,0.000123,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Las Vegas,06E1-A7C9-1117,0.006,gibibyte month,0.00,-0.00,0.00,-0.00,0.000106,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to Hong Kong,F8CC-C821-762A,0.002,gibibyte,0.00,-0.00,0.00,-0.00,0.000104,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Dammam,12EA-010C-5A4C,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000103,0.00,0%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Cluster Node Shared Core Nano Iowa,B4D9-BD1A-3BBC,"13,008.76",hour,413.68,-45.51,-368.17,0.00,0.000100,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to EMEA,4F4A-C624-B5BB,0.003,gibibyte,0.00,-0.00,0.00,0.00,0.000100,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Dallas,4CCF-185C-4E98,0.007,gibibyte,0.00,-0.00,0.00,0.00,0.000092,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to London,30B2-2B5D-5FA4,0.004,gibibyte,0.00,-0.00,0.00,-0.00,0.000086,0.00,0%
Cloud SQL,9662-B51E-5089,Network Inter Connect Data Transfer Out Americas,AFEC-8830-099C,0.002,gibibyte,0.00,-0.00,0.00,0.00,0.000077,0.00,0%
Compute Engine,6F81-5844-456A,Network CDN Europe Intra-Region Cache Fill,AFF5-F24B-5F78,0.013,gibibyte,0.00,-0.00,0.00,-0.00,0.000072,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Seoul,E600-FADE-52E5,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000068,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to Singapore,FE53-2840-4450,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000066,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from EMEA to Hong Kong,C83E-07CB-BA4B,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000065,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to APAC,3C5D-6A5C-96B1,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000064,0.00,0%
Compute Engine,6F81-5844-456A,Network CDN North America Intra-Region Cache Fill,AAEB-2D19-B7E5,0.013,gibibyte,0.00,-0.00,0.00,0.00,0.000064,0.00,0%
Cloud Pub/Sub,A1E8-BE35-7EBC,Internet data delivery from North America to Asia Pacific,6A7E-A057-0178,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000064,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Los Angeles to Hong Kong,371B-EFC6-E5A2,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000063,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Madrid,EFDD-0A28-5372,0.002,gibibyte,0.00,-0.00,0.00,-0.00,0.000058,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Paris,4307-EB87-2AA6,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000057,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Hong Kong,F71D-C7B3-1702,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000054,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to Mumbai,A0D3-B605-D1C2,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000053,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Mumbai,759B-1DAF-63D5,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000051,0.00,0%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M2 Iowa/South Carolina/Oregon,BF59-06FF-4968,"18,067.722",gibibyte hour,487.83,-53.66,-434.17,0.00,0.000050,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to Sao Paulo,1705-7159-1994,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000046,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to Jakarta,D553-ED7D-74E7,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000043,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Los Angeles,0C3C-6B13-B1E8,0.003,gibibyte,0.00,-0.00,0.00,0.00,0.000037,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Sao Paulo,57CC-A99B-29F3,0,gibibyte,0.00,-0.00,0.00,0.00,0.000036,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from EMEA to Mumbai,67D5-2929-3005,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000036,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Los Angeles to APAC,85E5-B53B-3679,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000036,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to APAC,AB08-A30B-7DCA,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000035,0.00,0%
Cloud Pub/Sub,A1E8-BE35-7EBC,Inter-region data delivery from North America to North America,A8B0-3AAC-6BBD,0.072,gibibyte,0.00,-0.00,0.00,0.00,0.000035,0.00,0%
Cloud Bigtable,C3BE-24A5-0975,Internet Data Transfer Out,9BAE-207C-E3CC,0,gibibyte,0.00,-0.00,0.00,0.00,0.000035,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Los Angeles to Mumbai,67FA-4BFE-04B0,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000034,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Los Angeles to London,2334-BDC8-BB4F,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000033,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Zurich to EMEA,E0D2-115E-6B2A,0,gibibyte,0.00,-0.00,0.00,0.00,0.000029,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Doha,C85C-4E19-F585,0,gibibyte,0.00,0.00,0.00,0.00,0.000028,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from EMEA to Sao Paulo,E1A7-55AA-0515,0,gibibyte,0.00,-0.00,0.00,0.00,0.000028,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Frankfurt,05B9-F85D-3C54,0,gibibyte,0.00,-0.00,0.00,0.00,0.000026,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from EMEA to APAC,4745-5707-9B6E,0.001,gibibyte,0.00,-0.00,0.00,-0.00,0.000024,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Los Angeles to Americas,8084-E0B8-9643,0.005,gibibyte,0.00,-0.00,0.00,0.00,0.000024,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Los Angeles to Singapore,9469-40EA-587B,0,gibibyte,0.00,-0.00,0.00,0.00,0.000023,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Los Angeles to Sao Paulo,5E6C-8F84-0F1D,0,gibibyte,0.00,-0.00,0.00,0.00,0.000022,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (RAM cost),F239-15CB-5B98,"16,251,378.943",gibibyte hour,0.00,0.00,0.00,0.00,0.000022,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (CPU cost),ECCC-9EE4-AEE4,"211,386.127",hour,0.00,0.00,0.00,0.00,0.000021,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Los Angeles to Jakarta,ADE1-E178-C617,0,gibibyte,0.00,-0.00,0.00,0.00,0.000020,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Memory Allocation Time in us-central1,769A-FA0B-B049,"41,657.141",gibibyte second,0.10,0.00,-0.10,0.00,0.000018,0.00,-100%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to London,0691-EF61-61A4,0.001,gibibyte,0.00,0.00,0.00,0.00,0.000018,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from EMEA to Jakarta,37C7-4A4E-D3E2,0,gibibyte,0.00,-0.00,0.00,0.00,0.000018,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from EMEA to Singapore,ECF5-FFCC-8269,0,gibibyte,0.00,-0.00,0.00,0.00,0.000017,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Virginia to Americas,1A51-8906-72EB,0,gibibyte,0.00,-0.00,0.00,0.00,0.000015,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Americas,2F99-3A90-373B,51.72,gibibyte,0.00,0.00,0.00,0.00,0.000015,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to Zurich,A46E-9C4D-A7A8,0,gibibyte,0.00,-0.00,0.00,0.00,0.000014,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Americas,E926-D07C-E1A4,"67,677.395",gibibyte,0.00,0.00,0.00,0.00,0.000014,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Americas to Americas,1E55-5CEB-2AB1,0.253,gibibyte,0.00,0.00,0.00,0.00,0.000012,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Delhi,4F4F-A2FF-50D0,0,gibibyte,0.00,-0.00,0.00,0.00,0.000012,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Japan to Columbus,8A25-7F62-EBF0,0,gibibyte,0.00,-0.00,0.00,0.00,0.000012,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to EMEA,9AA1-A59A-59E4,0,gibibyte,0.00,0.00,0.00,0.00,0.000012,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Seoul,004B-9431-9D1B,0,gibibyte,0.00,0.00,0.00,0.00,0.000011,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Los Angeles to Dammam,0A28-EF9C-C127,0,gibibyte,0.00,-0.00,0.00,0.00,0.000011,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Netherlands,0BD9-E3B2-485F,0,gibibyte,0.00,-0.00,0.00,0.00,0.000011,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS - PCID Whitelisted (RAM cost),3D41-4308-45C0,"16,251,378.943",gibibyte hour,0.00,0.00,0.00,0.00,0.000011,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from EMEA to London,63BA-E9A4-2E3E,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000011,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Madrid,CE26-3DD0-C4DF,0,gibibyte,0.00,-0.00,0.00,0.00,0.000011,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Shielded COS (CPU cost),8835-C41E-B3EA,"2,470,415.744",hour,0.00,0.00,0.00,0.00,0.000010,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Virginia,D83A-3163-3260,0,gibibyte,0.00,0.00,0.00,0.00,0.000010,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Singapore to Japan,DF4E-B28D-9067,0,gibibyte,0.00,0.00,0.00,0.00,0.000010,0.00,0%
